#{"t_start": 1772341269.333074, "env_id": "None"}
r,l,t
7.220538,500,16.676678
12.781291,500,28.308854
-103.882321,500,39.594267
38.760846,500,51.634268
-0.36923,500,67.763632
5.447641,500,79.370685
46.31272,500,90.928352
15.463111,500,102.722275
42.961761,500,125.156032
10.126833,500,139.471601
-4.08015,500,156.320914
7.146093,500,172.513236
19.202574,500,197.092807
53.010998,500,211.89559
-0.650813,500,226.533968
-0.4165,500,242.427056
-8.785135,500,266.469581
-3.786723,500,281.746645
3.878853,500,296.383426
-1.542385,500,310.959947
-119.792452,500,333.563839
-6.541315,500,348.593647
-6.247504,500,363.44706
-2.196041,500,378.002122
2.542225,500,400.725393
5.273032,500,415.995044
-8.415127,500,430.582944
-2.703913,500,445.305267
0.056672,500,467.915474
2.255775,500,482.580699
3.269419,500,497.675314
-1.807015,500,512.637556
0.361021,500,535.532077
4.403027,500,550.314446
28.495176,500,565.363862
24.951212,500,580.238056
-41.15422,503,602.44223
-45.773374,500,616.508538
-23.127059,500,631.082803
5.90556,500,646.58379
2.482335,500,669.921371
12.943224,500,686.134044
-6.258859,500,703.078434
-1.754706,500,724.762971
17.544711,500,744.516872
-2.316756,500,764.938278
64.327301,500,778.763099
35.6292,500,792.622802
-116.867768,501,807.067624
-485.19499,502,819.452275
-168.854027,510,834.531428
-14.410958,500,851.248585
-19.595172,500,864.104411
-4.293128,500,882.343463
1.542595,500,895.633527
-3.012057,500,913.78202
-3.691039,500,934.696254
-404.793954,501,950.671294
-90.458286,500,961.922565
-254.808421,507,972.381518
50.457434,500,983.3374
10.01115,500,998.47397
1.236313,500,1012.103968
-0.12765,500,1024.662392
0.81661,500,1040.540267
-3.588507,500,1060.817003
3.920793,500,1075.452629
-7.52146,500,1088.518037
4.408473,500,1100.716916
-4.021499,500,1121.511258
-6.45766,500,1134.520602
-6.571348,500,1147.145517
-25.454114,500,1158.971087
-168.258407,500,1175.085718
-17.843958,500,1186.891598
2.440046,500,1199.755943
-9.877882,500,1213.865086
-52.090843,500,1233.489417
9.441331,500,1249.217677
1.018332,500,1262.657739
-119.120113,500,1274.325271
2.007693,500,1293.049481
-45.041986,500,1302.715083
-62.938095,500,1312.197501
-45.333122,500,1321.838519
-56.611542,500,1332.281981
-0.353848,500,1342.418593
-1.304224,500,1352.485579
-2.996133,500,1362.605903
-1.81939,500,1372.726764
-78.660016,500,1383.088717
-113.177288,500,1392.029441
-164.449396,501,1400.556185
-425.044329,500,1406.41385
-275.809416,501,1414.8545
-315.75117,500,1421.727622
-351.876042,500,1428.218446
-301.674621,500,1435.316994
1.440082,500,1446.744168
0.015908,500,1456.860564
-0.138929,500,1466.942766
0.550573,500,1477.131171
2.627225,500,1488.752418
1.036265,500,1498.821941
-108.837891,500,1507.877555
-156.882883,500,1516.453698
-98.680793,500,1526.661931
-87.452473,500,1535.933623
-100.235858,501,1544.978866
-177.137139,501,1553.301679
-91.654319,500,1563.65352
13.800282,500,1573.290706
-6.619111,500,1583.34568
-31.292539,500,1593.138576
4.684812,500,1604.514063
6.748621,500,1614.652435
13.100182,500,1624.740847
-0.961012,500,1635.293094
3.647596,500,1659.141026
2.036541,500,1674.769392
-2.212545,500,1690.406143
-4.10241,500,1704.233376
-7.645102,500,1725.209349
0.50936,500,1738.983379
-1.67091,500,1754.107878
9.401852,500,1769.858167
3.606507,500,1795.418073
13.848174,500,1811.187272
75.493608,500,1826.971067
20.061435,628,1846.668316
0.411834,500,1872.194405
31.086918,500,1887.448468
140.119396,500,1902.681448
32.38174,500,1917.900575
-239.190877,500,1942.85574
19.006587,500,1957.8852
41.17886,500,1972.921851
32.229518,500,1987.988635
6.473289,500,2013.369165
10.199575,500,2028.548694
-8.440755,500,2043.783538
-7.930696,500,2058.907595
-9.50084,500,2074.022293
6.100932,500,2099.30713
-13.853945,500,2114.509954
-34.496461,500,2129.315073
3.638369,500,2144.475148
-3.436394,500,2169.801158
10.60228,500,2184.965757
-8.115233,500,2200.122064
-7.455301,500,2215.334296
4.648468,500,2240.754391
-7.033898,500,2255.991049
-0.423695,500,2271.112673
2.232823,500,2286.230866
5.341342,500,2312.567732
-5.055431,500,2328.116463
-1.180708,500,2343.339915
-9.722385,500,2358.482944
3.831182,500,2383.600716
14.536551,500,2398.91954
-8.829997,500,2414.354146
13.01242,500,2429.608402
14.767891,500,2455.177573
6.87985,500,2470.406457
8.384484,500,2485.650702
18.202036,500,2500.844173
-136.120993,883,2537.210689
27.38873,500,2552.466093
-107.982344,500,2567.072948
40.89575,500,2591.988518
161.339263,691,2613.513131
9.728494,500,2628.934798
85.822597,500,2647.613978
11.392825,500,2675.568518
10.826542,500,2689.243934
15.623449,500,2702.617466
-4.898748,500,2714.371541
5.089873,500,2731.570025
-3.564186,500,2743.264053
0.1053,500,2754.685281
0.418554,500,2766.096559
-7.71044,500,2781.105579
-2.600786,500,2792.510822
5.477348,500,2803.700005
10.374138,500,2814.883971
135.216337,500,2829.524974
65.778079,500,2844.65762
1.318704,500,2857.2649
-4.103191,500,2868.500899
-5.299092,500,2881.815844
0.256076,500,2904.93821
-3.265093,500,2920.187572
-11.129694,500,2935.255915
-95.552926,500,2945.94198
-17.627749,500,2965.65905
2.102229,500,2977.714594
1.799667,500,2988.905892
-6.161773,500,3002.443737
-129.222355,500,3029.608371
2.712692,500,3044.955008
6.497324,500,3060.231142
16.627485,500,3075.493124
3.202826,500,3100.924579
12.747438,500,3116.182801
-2.378109,500,3131.410218
2.421604,500,3146.608169
-181.223092,500,3171.279503
-1.305014,500,3186.653731
0.585103,500,3201.89782
-2.726302,500,3217.231865
-3.446537,500,3242.408867
-3.807041,500,3257.684008
-35.366101,500,3272.460338
-38.536099,500,3286.982824
-3.262124,500,3312.091576
-0.594031,500,3327.621513
6.25374,500,3342.960687
-1.469273,500,3358.245292
5.931635,500,3383.662511
119.663258,500,3399.020418
25.808871,500,3414.31
-20.068499,500,3429.603078
